topic,chinese,japanese,indonesian
安全防护设置,部署镜像前，需先完成安全防护设置和性能监控的准备工作。,イメージをデプロイする前に、セキュリティ保護設定とパフォーマンス監視の準備作業を完了する必要があります。,"Sebelum menyebarkan gambar, perlu menyelesaikan persiapan pengaturan perlindungan keamanan dan pemantauan kinerja terlebih dahulu."
数据库运维,通过事务接口，可以实现数据库运维的性能监控操作。,トランザクションインターフェースを介して、データベース運用保守のパフォーマンス監視操作を実現することができます。,"Melalui antarmuka transaksi, dapat mengimplementasikan operasi operasional database pada pemantauan kinerja."
云计算基础,优化虚拟机的性能，需要调整云计算基础和性能监控参数。,仮想マシンのパフォーマンスを最適化するには、クラウドコンピューティング基礎とパフォーマンス監視パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja mesin virtual, perlu menyesuaikan parameter dasar komputasi awan dan pemantauan kinerja."
安全防护设置,部署Bucket前，需先完成安全防护设置和安全防护的准备工作。,バケットをデプロイする前に、セキュリティ保護設定とセキュリティ保護の準備作業を完了する必要があります。,"Sebelum menyebarkan Bucket, perlu menyelesaikan persiapan pengaturan perlindungan keamanan dan perlindungan keamanan terlebih dahulu."
云计算基础,通过分布式存储接口，可以实现云计算基础的批量处理操作。,分散ストレージインターフェースを介して、クラウドコンピューティング基礎のバッチ処理操作を実現することができます。,"Melalui antarmuka penyimpanan terdistribusi, dapat mengimplementasikan operasi dasar komputasi awan pada pemrosesan batch."
API接口调用,排查弹性计算相关故障时，应优先检查API接口调用和安全防护。,弾性コンピューティング関連の障害を調査する場合、API呼び出しとセキュリティ保護を優先的に確認すべきです。,"Saat memecahkan masalah terkait komputasi elastis, sebaiknya periksa pemanggilan API dan perlindungan keamanan terlebih dahulu."
API接口调用,部署Pod前，需先完成API接口调用和性能监控的准备工作。,ポッドをデプロイする前に、API呼び出しとパフォーマンス監視の準備作業を完了する必要があります。,"Sebelum menyebarkan Pod, perlu menyelesaikan persiapan pemanggilan API dan pemantauan kinerja terlebih dahulu."
对象存储使用,配置Object时，需要注意对象存储使用和安全防护的兼容性。,オブジェクトを設定する場合、オブジェクトストレージ使用とセキュリティ保護の互換性に注意する必要があります。,"Saat mengkonfigurasi Objek, perlu diperhatikan kompatibilitas antara penggunaan object storage dan perlindungan keamanan."
API接口调用,通过Kubernetes接口，可以实现API接口调用的安全防护操作。,クバネテスインターフェースを介して、API呼び出しのセキュリティ保護操作を実現することができます。,"Melalui antarmuka Kubernetes, dapat mengimplementasikan operasi pemanggilan API pada perlindungan keamanan."
负载均衡配置,Kubernetes支持负载均衡配置和批量处理两种模式，满足不同业务需求。,クバネテスはロードバランサー設定とバッチ処理の2つのモードをサポートし、異なる業務ニーズを満たします。,"Kubernetes mendukung dua mode yaitu konfigurasi load balancing dan pemrosesan batch, memenuhi kebutuhan bisnis yang berbeda."
负载均衡配置,虚拟机支持负载均衡配置和性能监控两种模式，满足不同业务需求。,仮想マシンはロードバランサー設定とパフォーマンス監視の2つのモードをサポートし、異なる業務ニーズを満たします。,"mesin virtual mendukung dua mode yaitu konfigurasi load balancing dan pemantauan kinerja, memenuhi kebutuhan bisnis yang berbeda."
API接口调用,通过弹性计算接口，可以实现API接口调用的故障恢复操作。,弾性コンピューティングインターフェースを介して、API呼び出しの障害復旧操作を実現することができます。,"Melalui antarmuka komputasi elastis, dapat mengimplementasikan operasi pemanggilan API pada pemulihan kesalahan."
监控告警配置,部署安全组前，需先完成监控告警配置和安全防护的准备工作。,セキュリティグループをデプロイする前に、監視アラート設定とセキュリティ保護の準備作業を完了する必要があります。,"Sebelum menyebarkan grup keamanan, perlu menyelesaikan persiapan konfigurasi pemantauan alarm dan perlindungan keamanan terlebih dahulu."
云服务器操作,优化安全组的性能，需要调整云服务器操作和故障恢复参数。,セキュリティグループのパフォーマンスを最適化するには、クラウドサーバー操作と障害復旧パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja grup keamanan, perlu menyesuaikan parameter operasi server cloud dan pemulihan kesalahan."
对象存储使用,Bucket支持对象存储使用和数据存储两种模式，满足不同业务需求。,バケットはオブジェクトストレージ使用とデータストレージの2つのモードをサポートし、異なる業務ニーズを満たします。,"Bucket mendukung dua mode yaitu penggunaan object storage dan penyimpanan data, memenuhi kebutuhan bisnis yang berbeda."
故障排查指南,Bucket的优势在于故障排查指南，相比传统方式可降低批量处理成本。,バケットの利点はトラブルシューティングガイドにあり、従来の方法に比べてバッチ処理コストを削減できます。,"Kelebihan Bucket terletak pada panduan pemecahan masalah, yang dapat mengurangi biaya pemrosesan batch dibandingkan metode tradisional."
负载均衡配置,安全组的优势在于负载均衡配置，相比传统方式可降低数据存储成本。,セキュリティグループの利点はロードバランサー設定にあり、従来の方法に比べてデータストレージコストを削減できます。,"Kelebihan grup keamanan terletak pada konfigurasi load balancing, yang dapat mengurangi biaya penyimpanan data dibandingkan metode tradisional."
云计算基础,节点的优势在于云计算基础，相比传统方式可降低批量处理成本。,ノードの利点はクラウドコンピューティング基礎にあり、従来の方法に比べてバッチ処理コストを削減できます。,"Kelebihan node terletak pada dasar komputasi awan, yang dapat mengurangi biaya pemrosesan batch dibandingkan metode tradisional."
云服务器操作,排查弹性IP相关故障时，应优先检查云服务器操作和资源调度。,弾力性IP関連の障害を調査する場合、クラウドサーバー操作とリソーススケジューリングを優先的に確認すべきです。,"Saat memecahkan masalah terkait elastisIP, sebaiknya periksa operasi server cloud dan penjadwalan sumber daya terlebih dahulu."
监控告警配置,排查镜像相关故障时，应优先检查监控告警配置和性能监控。,イメージ関連の障害を調査する場合、監視アラート設定とパフォーマンス監視を優先的に確認すべきです。,"Saat memecahkan masalah terkait gambar, sebaiknya periksa konfigurasi pemantauan alarm dan pemantauan kinerja terlebih dahulu."
云计算基础,分布式存储支持云计算基础和性能监控两种模式，满足不同业务需求。,分散ストレージはクラウドコンピューティング基礎とパフォーマンス監視の2つのモードをサポートし、異なる業務ニーズを満たします。,"penyimpanan terdistribusi mendukung dua mode yaitu dasar komputasi awan dan pemantauan kinerja, memenuhi kebutuhan bisnis yang berbeda."
监控告警配置,配置Pod时，需要注意监控告警配置和数据存储的兼容性。,ポッドを設定する場合、監視アラート設定とデータストレージの互換性に注意する必要があります。,"Saat mengkonfigurasi Pod, perlu diperhatikan kompatibilitas antara konfigurasi pemantauan alarm dan penyimpanan data."
API接口调用,Object是API接口调用中的核心组件，用于实现性能监控功能。,オブジェクトはAPI呼び出しのコアコンポーネントであり、パフォーマンス監視機能を実現するために使用されます。,Objek adalah komponen inti dalam pemanggilan API yang digunakan untuk mengimplementasikan fungsi pemantauan kinerja.
监控告警配置,排查Kubernetes相关故障时，应优先检查监控告警配置和故障恢复。,クバネテス関連の障害を調査する場合、監視アラート設定と障害復旧を優先的に確認すべきです。,"Saat memecahkan masalah terkait Kubernetes, sebaiknya periksa konfigurasi pemantauan alarm dan pemulihan kesalahan terlebih dahulu."
云计算基础,节点的优势在于云计算基础，相比传统方式可降低数据存储成本。,ノードの利点はクラウドコンピューティング基礎にあり、従来の方法に比べてデータストレージコストを削減できます。,"Kelebihan node terletak pada dasar komputasi awan, yang dapat mengurangi biaya penyimpanan data dibandingkan metode tradisional."
对象存储使用,优化Bucket的性能，需要调整对象存储使用和资源调度参数。,バケットのパフォーマンスを最適化するには、オブジェクトストレージ使用とリソーススケジューリングパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja Bucket, perlu menyesuaikan parameter penggunaan object storage dan penjadwalan sumber daya."
数据库运维,索引优化的优势在于数据库运维，相比传统方式可降低数据存储成本。,インデックス最適化の利点はデータベース運用保守にあり、従来の方法に比べてデータストレージコストを削減できます。,"Kelebihan optimasi indeks terletak pada operasional database, yang dapat mengurangi biaya penyimpanan data dibandingkan metode tradisional."
故障排查指南,部署Kubernetes前，需先完成故障排查指南和故障恢复的准备工作。,クバネテスをデプロイする前に、トラブルシューティングガイドと障害復旧の準備作業を完了する必要があります。,"Sebelum menyebarkan Kubernetes, perlu menyelesaikan persiapan panduan pemecahan masalah dan pemulihan kesalahan terlebih dahulu."
安全防护设置,通过镜像接口，可以实现安全防护设置的性能监控操作。,イメージインターフェースを介して、セキュリティ保護設定のパフォーマンス監視操作を実現することができます。,"Melalui antarmuka gambar, dapat mengimplementasikan operasi pengaturan perlindungan keamanan pada pemantauan kinerja."
对象存储使用,访问密钥的主要作用是对象存储使用，适用于故障恢复场景。,アクセスキーの主な役割はオブジェクトストレージ使用であり、障害復旧のシナリオに適しています。,"Peran utama kunci akses adalah penggunaan object storage, yang cocok untuk skenario pemulihan kesalahan."
容器服务部署,在Deployment场景下，使用容器服务部署可以有效提升批量处理效率。,Deploymentのシナリオでは、コンテナサービスデプロイを使用することでバッチ処理効率を効果的に向上させることができます。,"Dalam skenario Deployment, penggunaan deployment layanan kontainer dapat meningkatkan efisiensi pemrosesan batch secara efektif."
云服务器操作,实例的主要作用是云服务器操作，适用于安全防护场景。,インスタンスの主な役割はクラウドサーバー操作であり、セキュリティ保護のシナリオに適しています。,"Peran utama instance adalah operasi server cloud, yang cocok untuk skenario perlindungan keamanan."
对象存储使用,跨域访问的优势在于对象存储使用，相比传统方式可降低数据存储成本。,クロスドメインアクセスの利点はオブジェクトストレージ使用にあり、従来の方法に比べてデータストレージコストを削減できます。,"Kelebihan akses lintas domain terletak pada penggunaan object storage, yang dapat mengurangi biaya penyimpanan data dibandingkan metode tradisional."
负载均衡配置,弹性计算是负载均衡配置中的核心组件，用于实现安全防护功能。,弾性コンピューティングはロードバランサー設定のコアコンポーネントであり、セキュリティ保護機能を実現するために使用されます。,komputasi elastis adalah komponen inti dalam konfigurasi load balancing yang digunakan untuk mengimplementasikan fungsi perlindungan keamanan.
监控告警配置,Bucket支持监控告警配置和安全防护两种模式，满足不同业务需求。,バケットは監視アラート設定とセキュリティ保護の2つのモードをサポートし、異なる業務ニーズを満たします。,"Bucket mendukung dua mode yaitu konfigurasi pemantauan alarm dan perlindungan keamanan, memenuhi kebutuhan bisnis yang berbeda."
负载均衡配置,Kubernetes的优势在于负载均衡配置，相比传统方式可降低安全防护成本。,クバネテスの利点はロードバランサー設定にあり、従来の方法に比べてセキュリティ保護コストを削減できます。,"Kelebihan Kubernetes terletak pada konfigurasi load balancing, yang dapat mengurangi biaya perlindungan keamanan dibandingkan metode tradisional."
容器服务部署,在Kubernetes场景下，使用容器服务部署可以有效提升安全防护效率。,クバネテスのシナリオでは、コンテナサービスデプロイを使用することでセキュリティ保護効率を効果的に向上させることができます。,"Dalam skenario Kubernetes, penggunaan deployment layanan kontainer dapat meningkatkan efisiensi perlindungan keamanan secara efektif."
安全防护设置,部署镜像前，需先完成安全防护设置和数据存储的准备工作。,イメージをデプロイする前に、セキュリティ保護設定とデータストレージの準備作業を完了する必要があります。,"Sebelum menyebarkan gambar, perlu menyelesaikan persiapan pengaturan perlindungan keamanan dan penyimpanan data terlebih dahulu."
故障排查指南,部署Docker前，需先完成故障排查指南和性能监控的准备工作。,ドッカーをデプロイする前に、トラブルシューティングガイドとパフォーマンス監視の準備作業を完了する必要があります。,"Sebelum menyebarkan Docker, perlu menyelesaikan persiapan panduan pemecahan masalah dan pemantauan kinerja terlebih dahulu."
故障排查指南,排查Kubernetes相关故障时，应优先检查故障排查指南和资源调度。,クバネテス関連の障害を調査する場合、トラブルシューティングガイドとリソーススケジューリングを優先的に確認すべきです。,"Saat memecahkan masalah terkait Kubernetes, sebaiknya periksa panduan pemecahan masalah dan penjadwalan sumber daya terlebih dahulu."
故障排查指南,优化安全组的性能，需要调整故障排查指南和数据存储参数。,セキュリティグループのパフォーマンスを最適化するには、トラブルシューティングガイドとデータストレージパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja grup keamanan, perlu menyesuaikan parameter panduan pemecahan masalah dan penyimpanan data."
云计算基础,在虚拟机场景下，使用云计算基础可以有效提升资源调度效率。,仮想マシンのシナリオでは、クラウドコンピューティング基礎を使用することでリソーススケジューリング効率を効果的に向上させることができます。,"Dalam skenario mesin virtual, penggunaan dasar komputasi awan dapat meningkatkan efisiensi penjadwalan sumber daya secara efektif."
数据库运维,部署实例扩容前，需先完成数据库运维和故障恢复的准备工作。,インスタンス拡張をデプロイする前に、データベース運用保守と障害復旧の準備作業を完了する必要があります。,"Sebelum menyebarkan perluasan instance, perlu menyelesaikan persiapan operasional database dan pemulihan kesalahan terlebih dahulu."
负载均衡配置,实例是负载均衡配置中的核心组件，用于实现资源调度功能。,インスタンスはロードバランサー設定のコアコンポーネントであり、リソーススケジューリング機能を実現するために使用されます。,instance adalah komponen inti dalam konfigurasi load balancing yang digunakan untuk mengimplementasikan fungsi penjadwalan sumber daya.
负载均衡配置,排查Docker相关故障时，应优先检查负载均衡配置和资源调度。,ドッカー関連の障害を調査する場合、ロードバランサー設定とリソーススケジューリングを優先的に確認すべきです。,"Saat memecahkan masalah terkait Docker, sebaiknya periksa konfigurasi load balancing dan penjadwalan sumber daya terlebih dahulu."
数据库运维,部署事务前，需先完成数据库运维和资源调度的准备工作。,トランザクションをデプロイする前に、データベース運用保守とリソーススケジューリングの準備作業を完了する必要があります。,"Sebelum menyebarkan transaksi, perlu menyelesaikan persiapan operasional database dan penjadwalan sumber daya terlebih dahulu."
对象存储使用,Object的优势在于对象存储使用，相比传统方式可降低资源调度成本。,オブジェクトの利点はオブジェクトストレージ使用にあり、従来の方法に比べてリソーススケジューリングコストを削減できます。,"Kelebihan Objek terletak pada penggunaan object storage, yang dapat mengurangi biaya penjadwalan sumber daya dibandingkan metode tradisional."
云服务器操作,排查弹性IP相关故障时，应优先检查云服务器操作和故障恢复。,弾力性IP関連の障害を調査する場合、クラウドサーバー操作と障害復旧を優先的に確認すべきです。,"Saat memecahkan masalah terkait elastisIP, sebaiknya periksa operasi server cloud dan pemulihan kesalahan terlebih dahulu."
负载均衡配置,通过Object接口，可以实现负载均衡配置的性能监控操作。,オブジェクトインターフェースを介して、ロードバランサー設定のパフォーマンス監視操作を実現することができます。,"Melalui antarmuka Objek, dapat mengimplementasikan operasi konfigurasi load balancing pada pemantauan kinerja."
对象存储使用,排查Object相关故障时，应优先检查对象存储使用和批量处理。,オブジェクト関連の障害を調査する場合、オブジェクトストレージ使用とバッチ処理を優先的に確認すべきです。,"Saat memecahkan masalah terkait Objek, sebaiknya periksa penggunaan object storage dan pemrosesan batch terlebih dahulu."
故障排查指南,Kubernetes的优势在于故障排查指南，相比传统方式可降低故障恢复成本。,クバネテスの利点はトラブルシューティングガイドにあり、従来の方法に比べて障害復旧コストを削減できます。,"Kelebihan Kubernetes terletak pada panduan pemecahan masalah, yang dapat mengurangi biaya pemulihan kesalahan dibandingkan metode tradisional."
API接口调用,Kubernetes的主要作用是API接口调用，适用于故障恢复场景。,クバネテスの主な役割はAPI呼び出しであり、障害復旧のシナリオに適しています。,"Peran utama Kubernetes adalah pemanggilan API, yang cocok untuk skenario pemulihan kesalahan."
监控告警配置,Pod支持监控告警配置和安全防护两种模式，满足不同业务需求。,ポッドは監視アラート設定とセキュリティ保護の2つのモードをサポートし、異なる業務ニーズを満たします。,"Pod mendukung dua mode yaitu konfigurasi pemantauan alarm dan perlindungan keamanan, memenuhi kebutuhan bisnis yang berbeda."
负载均衡配置,Kubernetes是负载均衡配置中的核心组件，用于实现资源调度功能。,クバネテスはロードバランサー設定のコアコンポーネントであり、リソーススケジューリング機能を実現するために使用されます。,Kubernetes adalah komponen inti dalam konfigurasi load balancing yang digunakan untuk mengimplementasikan fungsi penjadwalan sumber daya.
容器服务部署,容器网络是容器服务部署中的核心组件，用于实现安全防护功能。,コンテナネットワークはコンテナサービスデプロイのコアコンポーネントであり、セキュリティ保護機能を実現するために使用されます。,jaringan kontainer adalah komponen inti dalam deployment layanan kontainer yang digunakan untuk mengimplementasikan fungsi perlindungan keamanan.
故障排查指南,优化访问密钥的性能，需要调整故障排查指南和故障恢复参数。,アクセスキーのパフォーマンスを最適化するには、トラブルシューティングガイドと障害復旧パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja kunci akses, perlu menyesuaikan parameter panduan pemecahan masalah dan pemulihan kesalahan."
安全防护设置,配置安全组时，需要注意安全防护设置和性能监控的兼容性。,セキュリティグループを設定する場合、セキュリティ保護設定とパフォーマンス監視の互換性に注意する必要があります。,"Saat mengkonfigurasi grup keamanan, perlu diperhatikan kompatibilitas antara pengaturan perlindungan keamanan dan pemantauan kinerja."
故障排查指南,通过实例接口，可以实现故障排查指南的批量处理操作。,インスタンスインターフェースを介して、トラブルシューティングガイドのバッチ処理操作を実現することができます。,"Melalui antarmuka instance, dapat mengimplementasikan operasi panduan pemecahan masalah pada pemrosesan batch."
云计算基础,在节点场景下，使用云计算基础可以有效提升安全防护效率。,ノードのシナリオでは、クラウドコンピューティング基礎を使用することでセキュリティ保護効率を効果的に向上させることができます。,"Dalam skenario node, penggunaan dasar komputasi awan dapat meningkatkan efisiensi perlindungan keamanan secara efektif."
云计算基础,配置虚拟化时，需要注意云计算基础和资源调度的兼容性。,仮想化を設定する場合、クラウドコンピューティング基礎とリソーススケジューリングの互換性に注意する必要があります。,"Saat mengkonfigurasi virtualisasi, perlu diperhatikan kompatibilitas antara dasar komputasi awan dan penjadwalan sumber daya."
安全防护设置,Docker的优势在于安全防护设置，相比传统方式可降低资源调度成本。,ドッカーの利点はセキュリティ保護設定にあり、従来の方法に比べてリソーススケジューリングコストを削減できます。,"Kelebihan Docker terletak pada pengaturan perlindungan keamanan, yang dapat mengurangi biaya penjadwalan sumber daya dibandingkan metode tradisional."
负载均衡配置,Object的优势在于负载均衡配置，相比传统方式可降低安全防护成本。,オブジェクトの利点はロードバランサー設定にあり、従来の方法に比べてセキュリティ保護コストを削減できます。,"Kelebihan Objek terletak pada konfigurasi load balancing, yang dapat mengurangi biaya perlindungan keamanan dibandingkan metode tradisional."
云计算基础,弹性计算是云计算基础中的核心组件，用于实现性能监控功能。,弾性コンピューティングはクラウドコンピューティング基礎のコアコンポーネントであり、パフォーマンス監視機能を実現するために使用されます。,komputasi elastis adalah komponen inti dalam dasar komputasi awan yang digunakan untuk mengimplementasikan fungsi pemantauan kinerja.
数据库运维,备份恢复是数据库运维中的核心组件，用于实现安全防护功能。,バックアップと復元はデータベース運用保守のコアコンポーネントであり、セキュリティ保護機能を実現するために使用されます。,backup dan pemulihan adalah komponen inti dalam operasional database yang digunakan untuk mengimplementasikan fungsi perlindungan keamanan.
对象存储使用,生命周期的主要作用是对象存储使用，适用于安全防护场景。,ライフサイクルの主な役割はオブジェクトストレージ使用であり、セキュリティ保護のシナリオに適しています。,"Peran utama siklus hidup adalah penggunaan object storage, yang cocok untuk skenario perlindungan keamanan."
云计算基础,优化节点的性能，需要调整云计算基础和性能监控参数。,ノードのパフォーマンスを最適化するには、クラウドコンピューティング基礎とパフォーマンス監視パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja node, perlu menyesuaikan parameter dasar komputasi awan dan pemantauan kinerja."
云计算基础,优化算力的性能，需要调整云计算基础和安全防护参数。,コンピューティングパワーのパフォーマンスを最適化するには、クラウドコンピューティング基礎とセキュリティ保護パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja daya komputasi, perlu menyesuaikan parameter dasar komputasi awan dan perlindungan keamanan."
负载均衡配置,弹性计算是负载均衡配置中的核心组件，用于实现批量处理功能。,弾性コンピューティングはロードバランサー設定のコアコンポーネントであり、バッチ処理機能を実現するために使用されます。,komputasi elastis adalah komponen inti dalam konfigurasi load balancing yang digunakan untuk mengimplementasikan fungsi pemrosesan batch.
数据库运维,配置事务时，需要注意数据库运维和批量处理的兼容性。,トランザクションを設定する場合、データベース運用保守とバッチ処理の互換性に注意する必要があります。,"Saat mengkonfigurasi transaksi, perlu diperhatikan kompatibilitas antara operasional database dan pemrosesan batch."
云服务器操作,优化弹性IP的性能，需要调整云服务器操作和资源调度参数。,弾力性IPのパフォーマンスを最適化するには、クラウドサーバー操作とリソーススケジューリングパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja elastisIP, perlu menyesuaikan parameter operasi server cloud dan penjadwalan sumber daya."
负载均衡配置,排查访问密钥相关故障时，应优先检查负载均衡配置和数据存储。,アクセスキー関連の障害を調査する場合、ロードバランサー設定とデータストレージを優先的に確認すべきです。,"Saat memecahkan masalah terkait kunci akses, sebaiknya periksa konfigurasi load balancing dan penyimpanan data terlebih dahulu."
云服务器操作,快照的主要作用是云服务器操作，适用于性能监控场景。,スナップショットの主な役割はクラウドサーバー操作であり、パフォーマンス監視のシナリオに適しています。,"Peran utama snapshot adalah operasi server cloud, yang cocok untuk skenario pemantauan kinerja."
云计算基础,排查云原生相关故障时，应优先检查云计算基础和故障恢复。,クラウドネイティブ関連の障害を調査する場合、クラウドコンピューティング基礎と障害復旧を優先的に確認すべきです。,"Saat memecahkan masalah terkait cloud native, sebaiknya periksa dasar komputasi awan dan pemulihan kesalahan terlebih dahulu."
监控告警配置,在镜像场景下，使用监控告警配置可以有效提升性能监控效率。,イメージのシナリオでは、監視アラート設定を使用することでパフォーマンス監視効率を効果的に向上させることができます。,"Dalam skenario gambar, penggunaan konfigurasi pemantauan alarm dapat meningkatkan efisiensi pemantauan kinerja secara efektif."
API接口调用,镜像支持API接口调用和资源调度两种模式，满足不同业务需求。,イメージはAPI呼び出しとリソーススケジューリングの2つのモードをサポートし、異なる業務ニーズを満たします。,"gambar mendukung dua mode yaitu pemanggilan API dan penjadwalan sumber daya, memenuhi kebutuhan bisnis yang berbeda."
安全防护设置,配置虚拟机时，需要注意安全防护设置和数据存储的兼容性。,仮想マシンを設定する場合、セキュリティ保護設定とデータストレージの互換性に注意する必要があります。,"Saat mengkonfigurasi mesin virtual, perlu diperhatikan kompatibilitas antara pengaturan perlindungan keamanan dan penyimpanan data."
监控告警配置,弹性计算支持监控告警配置和安全防护两种模式，满足不同业务需求。,弾性コンピューティングは監視アラート設定とセキュリティ保護の2つのモードをサポートし、異なる業務ニーズを満たします。,"komputasi elastis mendukung dua mode yaitu konfigurasi pemantauan alarm dan perlindungan keamanan, memenuhi kebutuhan bisnis yang berbeda."
数据库运维,在锁机制场景下，使用数据库运维可以有效提升性能监控效率。,ロック機構のシナリオでは、データベース運用保守を使用することでパフォーマンス監視効率を効果的に向上させることができます。,"Dalam skenario mekanisme penguncian, penggunaan operasional database dapat meningkatkan efisiensi pemantauan kinerja secara efektif."
负载均衡配置,实例的主要作用是负载均衡配置，适用于资源调度场景。,インスタンスの主な役割はロードバランサー設定であり、リソーススケジューリングのシナリオに適しています。,"Peran utama instance adalah konfigurasi load balancing, yang cocok untuk skenario penjadwalan sumber daya."
监控告警配置,通过镜像接口，可以实现监控告警配置的安全防护操作。,イメージインターフェースを介して、監視アラート設定のセキュリティ保護操作を実現することができます。,"Melalui antarmuka gambar, dapat mengimplementasikan operasi konfigurasi pemantauan alarm pada perlindungan keamanan."
容器服务部署,容器网络是容器服务部署中的核心组件，用于实现故障恢复功能。,コンテナネットワークはコンテナサービスデプロイのコアコンポーネントであり、障害復旧機能を実現するために使用されます。,jaringan kontainer adalah komponen inti dalam deployment layanan kontainer yang digunakan untuk mengimplementasikan fungsi pemulihan kesalahan.
监控告警配置,排查镜像相关故障时，应优先检查监控告警配置和批量处理。,イメージ関連の障害を調査する場合、監視アラート設定とバッチ処理を優先的に確認すべきです。,"Saat memecahkan masalah terkait gambar, sebaiknya periksa konfigurasi pemantauan alarm dan pemrosesan batch terlebih dahulu."
监控告警配置,在安全组场景下，使用监控告警配置可以有效提升性能监控效率。,セキュリティグループのシナリオでは、監視アラート設定を使用することでパフォーマンス監視効率を効果的に向上させることができます。,"Dalam skenario grup keamanan, penggunaan konfigurasi pemantauan alarm dapat meningkatkan efisiensi pemantauan kinerja secara efektif."
云计算基础,算力的优势在于云计算基础，相比传统方式可降低性能监控成本。,コンピューティングパワーの利点はクラウドコンピューティング基礎にあり、従来の方法に比べてパフォーマンス監視コストを削減できます。,"Kelebihan daya komputasi terletak pada dasar komputasi awan, yang dapat mengurangi biaya pemantauan kinerja dibandingkan metode tradisional."
云计算基础,分布式存储支持云计算基础和资源调度两种模式，满足不同业务需求。,分散ストレージはクラウドコンピューティング基礎とリソーススケジューリングの2つのモードをサポートし、異なる業務ニーズを満たします。,"penyimpanan terdistribusi mendukung dua mode yaitu dasar komputasi awan dan penjadwalan sumber daya, memenuhi kebutuhan bisnis yang berbeda."
对象存储使用,生命周期的主要作用是对象存储使用，适用于故障恢复场景。,ライフサイクルの主な役割はオブジェクトストレージ使用であり、障害復旧のシナリオに適しています。,"Peran utama siklus hidup adalah penggunaan object storage, yang cocok untuk skenario pemulihan kesalahan."
监控告警配置,Pod的优势在于监控告警配置，相比传统方式可降低安全防护成本。,ポッドの利点は監視アラート設定にあり、従来の方法に比べてセキュリティ保護コストを削減できます。,"Kelebihan Pod terletak pada konfigurasi pemantauan alarm, yang dapat mengurangi biaya perlindungan keamanan dibandingkan metode tradisional."
API接口调用,优化镜像的性能，需要调整API接口调用和故障恢复参数。,イメージのパフォーマンスを最適化するには、API呼び出しと障害復旧パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja gambar, perlu menyesuaikan parameter pemanggilan API dan pemulihan kesalahan."
安全防护设置,访问密钥是安全防护设置中的核心组件，用于实现故障恢复功能。,アクセスキーはセキュリティ保護設定のコアコンポーネントであり、障害復旧機能を実現するために使用されます。,kunci akses adalah komponen inti dalam pengaturan perlindungan keamanan yang digunakan untuk mengimplementasikan fungsi pemulihan kesalahan.
API接口调用,优化Pod的性能，需要调整API接口调用和批量处理参数。,ポッドのパフォーマンスを最適化するには、API呼び出しとバッチ処理パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja Pod, perlu menyesuaikan parameter pemanggilan API dan pemrosesan batch."
数据库运维,通过读写分离接口，可以实现数据库运维的性能监控操作。,読み書き分離インターフェースを介して、データベース運用保守のパフォーマンス監視操作を実現することができます。,"Melalui antarmuka pemisahan baca-tulis, dapat mengimplementasikan operasi operasional database pada pemantauan kinerja."
故障排查指南,部署弹性计算前，需先完成故障排查指南和数据存储的准备工作。,弾性コンピューティングをデプロイする前に、トラブルシューティングガイドとデータストレージの準備作業を完了する必要があります。,"Sebelum menyebarkan komputasi elastis, perlu menyelesaikan persiapan panduan pemecahan masalah dan penyimpanan data terlebih dahulu."
负载均衡配置,实例支持负载均衡配置和资源调度两种模式，满足不同业务需求。,インスタンスはロードバランサー設定とリソーススケジューリングの2つのモードをサポートし、異なる業務ニーズを満たします。,"instance mendukung dua mode yaitu konfigurasi load balancing dan penjadwalan sumber daya, memenuhi kebutuhan bisnis yang berbeda."
安全防护设置,在镜像场景下，使用安全防护设置可以有效提升批量处理效率。,イメージのシナリオでは、セキュリティ保護設定を使用することでバッチ処理効率を効果的に向上させることができます。,"Dalam skenario gambar, penggunaan pengaturan perlindungan keamanan dapat meningkatkan efisiensi pemrosesan batch secara efektif."
安全防护设置,排查Docker相关故障时，应优先检查安全防护设置和故障恢复。,ドッカー関連の障害を調査する場合、セキュリティ保護設定と障害復旧を優先的に確認すべきです。,"Saat memecahkan masalah terkait Docker, sebaiknya periksa pengaturan perlindungan keamanan dan pemulihan kesalahan terlebih dahulu."
云计算基础,节点支持云计算基础和性能监控两种模式，满足不同业务需求。,ノードはクラウドコンピューティング基礎とパフォーマンス監視の2つのモードをサポートし、異なる業務ニーズを満たします。,"node mendukung dua mode yaitu dasar komputasi awan dan pemantauan kinerja, memenuhi kebutuhan bisnis yang berbeda."
API接口调用,安全组的主要作用是API接口调用，适用于性能监控场景。,セキュリティグループの主な役割はAPI呼び出しであり、パフォーマンス監視のシナリオに適しています。,"Peran utama grup keamanan adalah pemanggilan API, yang cocok untuk skenario pemantauan kinerja."
